p, b, ordering, load_balancing, mapping, nnz, volume, msg,
16, 20, SCOTCH, NOLB, MODWRAP2D, 3037110, 128836512, 17824,  
16, 20, SCOTCH, NOLB, COL2D, 3037110, 244959672, 20316,  
16, 20, SCOTCH, NOLB, ROW2D, 3037110, 217434328, 35269,  
24, 20, SCOTCH, NOLB, MODWRAP2D, 3037110, 149466824, 22143,  
24, 20, SCOTCH, NOLB, COL2D, 3037110, 299305024, 24521,  
24, 20, SCOTCH, NOLB, ROW2D, 3037110, 260868048, 41680,  
2, 20, SCOTCH, SUBCUBE-FO, MODWRAP2D, 3037110, 4378344, 576,  
2, 20, SCOTCH, SUBCUBE-FO, COL2D, 3037110, 1419008, 29,  
2, 20, SCOTCH, SUBCUBE-FO, ROW2D, 3037110, 7239856, 1068,  
4, 20, SCOTCH, SUBCUBE-FO, MODWRAP2D, 3037110, 14468936, 1682,  
4, 20, SCOTCH, SUBCUBE-FO, COL2D, 3037110, 7146640, 115,  
4, 20, SCOTCH, SUBCUBE-FO, ROW2D, 3037110, 25365264, 3365,  
8, 20, SCOTCH, SUBCUBE-FO, MODWRAP2D, 3037110, 31739656, 3305,  
8, 20, SCOTCH, SUBCUBE-FO, COL2D, 3037110, 21142936, 316,  
8, 20, SCOTCH, SUBCUBE-FO, ROW2D, 3037110, 60555216, 7481,  
16, 20, SCOTCH, SUBCUBE-FO, MODWRAP2D, 3037110, 67290328, 5984,  
16, 20, SCOTCH, SUBCUBE-FO, COL2D, 3037110, 52646696, 783,  
16, 20, SCOTCH, SUBCUBE-FO, ROW2D, 3037110, 119649752, 12637,  
24, 20, SCOTCH, SUBCUBE-FO, MODWRAP2D, 3037110, 89133216, 7533,  
24, 20, SCOTCH, SUBCUBE-FO, COL2D, 3037110, 82701488, 1266,  
24, 20, SCOTCH, SUBCUBE-FO, ROW2D, 3037110, 156894576, 15535,  
2, 20, SCOTCH, SUBCUBE-FI, MODWRAP2D, 3037110, 1419952, 29,  
2, 20, SCOTCH, SUBCUBE-FI, COL2D, 3037110, 1419952, 29,  
2, 20, SCOTCH, SUBCUBE-FI, ROW2D, 3037110, 3507936, 501,  
4, 20, SCOTCH, SUBCUBE-FI, MODWRAP2D, 3037110, 11250336, 1163,  
4, 20, SCOTCH, SUBCUBE-FI, COL2D, 3037110, 7147632, 115,  
4, 20, SCOTCH, SUBCUBE-FI, ROW2D, 3037110, 18637528, 2418,  
8, 20, SCOTCH, SUBCUBE-FI, MODWRAP2D, 3037110, 26305016, 2368,  
8, 20, SCOTCH, SUBCUBE-FI, COL2D, 3037110, 21058888, 316,  
8, 20, SCOTCH, SUBCUBE-FI, ROW2D, 3037110, 48542744, 5985,  
16, 20, SCOTCH, SUBCUBE-FI, MODWRAP2D, 3037110, 63976280, 5857,  
16, 20, SCOTCH, SUBCUBE-FI, COL2D, 3037110, 52235496, 783,  
16, 20, SCOTCH, SUBCUBE-FI, ROW2D, 3037110, 103573784, 11504,  
24, 20, SCOTCH, SUBCUBE-FI, MODWRAP2D, 3037110, 89905928, 7592,  
24, 20, SCOTCH, SUBCUBE-FI, COL2D, 3037110, 82752592, 1266,  
24, 20, SCOTCH, SUBCUBE-FI, ROW2D, 3037110, 153337400, 15136,  
